fixture_id,event_id,avg_offense_distance_to_goal,avg_defense_distance_to_goal,shooter_distance_to_goal,shooter_distance_to_goalkeeper,goalkeeper_distance_to_goal,ball_distance_to_goal,ball_distance_to_goalkeeper,shot_angle_to_goal,ball_angle_to_goal,angle_ball_to_goalkeeper
02ea68cb-5ca6-11f0-a329-51a43a77a48d,38044251-a779-11f0-9f92-413ac7416675,17.173378136752522,8.792174662664761,6.723734825229205,4.63450633832774,2.106706671561089,5.828584047605387,3.723839013706151,0.23173224927314795,0.30129743549255394,0.019509907723756287
02ea68cb-5ca6-11f0-a329-51a43a77a48d,4e08b401-a779-11f0-9f92-413ac7416675,13.772852632316726,7.357824114021292,9.332747130400566,8.771537208494301,0.6368045225970049,8.504300206366187,7.965338536433964,0.2891191409680189,0.3257946061960336,0.041213012695784194
02ea68cb-5ca6-11f0-a329-51a43a77a48d,5367fa51-a779-11f0-9f92-413ac7416675,15.044433263264105,8.09191036986468,6.298301517075854,4.349009312475658,1.9624392984242849,4.7078440925757095,2.75560882564997,0.439147599539055,0.5438729083266916,0.055497017262872
02ea68cb-5ca6-11f0-a329-51a43a77a48d,78a36161-a779-11f0-9f92-413ac7416675,,,,,,4.7078440925757095,2.75560882564997,0.439147599539055,,0.055497017262872
02ea68cb-5ca6-11f0-a329-51a43a77a48d,97a21a71-a779-11f0-9f92-413ac7416675,17.66125269413639,9.16155971004805,5.126960600589789,2.6128930326364346,2.5348264240377456,4.0310048375064,1.798967759577699,0.5328465193685613,0.6123876174272772,0.44992238210675783
02ea68cb-5ca6-11f0-a329-51a43a77a48d,9c68f151-a779-11f0-9f92-413ac7416675,,,,,,4.0310048375064,1.798967759577699,0.5328465193685613,,0.44992238210675783
02ea68cb-5ca6-11f0-a329-51a43a77a48d,bea45ed0-a779-11f0-9f92-413ac7416675,16.777301563475017,8.084974357828106,5.6597657195329205,2.913894987812705,2.7764444889102315,4.304167747660399,1.5556889149184037,0.31710031779351944,0.4396801859819135,0.15205058701833968
02ea68cb-5ca6-11f0-a329-51a43a77a48d,d3ce27f1-a779-11f0-9f92-413ac7416675,12.874143222020507,6.966127539954916,9.530245379842011,9.020281592056872,0.5107768593035493,9.18473211367648,8.67399844362449,0.31157405258942683,0.32105143063879504,0.0007441600582538985
02ea68cb-5ca6-11f0-a329-51a43a77a48d,dbc29811-a779-11f0-9f92-413ac7416675,28.211845201266495,16.548773560228103,4.570432364667483,2.5524554844306295,2.022662848820831,3.6014298549326216,1.725508041128758,5.654863919881631,0.7328013259191986,0.3045884306988566
02ea68cb-5ca6-11f0-a329-51a43a77a48d,e18f6d41-a779-11f0-9f92-413ac7416675,14.360661675289949,7.7449984196677635,5.810324775776307,3.223335539468392,2.586998647081209,4.995244638653846,2.420528248130972,0.4516454138196465,0.5400799565157273,0.07242651066795225
02ea68cb-5ca6-11f0-a329-51a43a77a48d,f6351241-a779-11f0-9f92-413ac7416675,,,,,,4.995244638653846,2.420528248130972,0.4516454138196465,,0.07242651066795225
02ea68cb-5ca6-11f0-a329-51a43a77a48d,15296b11-a77a-11f0-9f92-413ac7416675,13.361488318025122,6.941226986359031,7.735758592407084,5.7642623986074755,1.9715131244807895,7.372504187859102,5.411577404047731,0.2739624589617634,0.3122735970747259,0.032303785096422594
02ea68cb-5ca6-11f0-a329-51a43a77a48d,2ec645c1-a77a-11f0-9f92-413ac7416675,12.131204154891607,6.560874108739099,8.677214760509274,8.14824361442391,0.5620053380529402,7.255660204281895,6.7362367090238155,0.3371208959237233,5.87895904759221,0.030695952298846866
02ea68cb-5ca6-11f0-a329-51a43a77a48d,4f9ddd81-a77a-11f0-9f92-413ac7416675,19.21888461339457,9.026607406348402,4.940192911213083,2.5573323992003854,2.3910217481235927,4.143285894070067,1.8385399098197461,0.5145307625976199,5.615203027387011,0.23112974696011115
02ea68cb-5ca6-11f0-a329-51a43a77a48d,6bf82a81-a77a-11f0-9f92-413ac7416675,13.455804366304255,7.423827590691333,5.929756318770612,3.217098848341467,2.738970061902832,4.964008460911402,2.227759636944702,0.16289115164100876,0.24246162175479546,0.03670776668321064
02ea68cb-5ca6-11f0-a329-51a43a77a48d,83565fd1-a77a-11f0-9f92-413ac7416675,12.31822092690361,7.460629261705253,5.687315183810371,3.1600588602113096,2.568704342659933,4.978020891880627,2.411109703020582,0.3987817319478637,0.4931182792395936,0.027700146387245727
